"","HSPP_DW_2155.97","HSPP_DW_2149.95","HSPP_DW_2159.91","HSPP_JY_894.2","HSPP_DW_2158.90","HSPP_DW_2161.93","HSPP_DW_2150.94","HSPP_DW_2157.96","HSPP_DW_2160.92","HSPP_JY_892.1","HSPP_DW_2156.98","Saliva_COVID-19_086","Saliva_COVID-19_078","Saliva_COVID-19_080","Saliva_COVID-19_083","Saliva_COVID-19_085","Saliva_COVID-19_082","Saliva_COVID-19_081","Saliva_COVID-19_087","Saliva_COVID-19_084","Saliva_COVID-19_079"
"Label","A","A","A","A","A","A","A","A","A","A","A","B","B","B","B","B","B","B","B","B","B"
"Q9BYR0","-4.392609","-4.392609","-4.392609","-4.392609","-4.392609","-4.392609","-4.392609","-4.392609","-4.392609","-3.693639","-4.392609","-4.392609","-4.392609","-4.392609","-4.392609","-4.392609","-4.392609","-4.392609","-4.392609","-4.392609","-4.392609"
"Q9BYR2","-4.339894","-4.339894","-4.339894","-4.339894","-4.339894","-4.339894","-4.339894","-4.339894","-4.339894","-3.640924","-4.339894","-4.339894","-4.339894","-4.339894","-4.339894","-4.339894","-4.339894","-4.339894","-4.339894","-4.339894","-4.339894"
"Q9BZG1","-4.717015","-4.717015","-4.717015","-4.717015","-4.717015","-4.717015","-4.717015","-4.717015","-4.717015","-4.717015","-4.717015","-4.717015","-4.717015","-4.717015","-4.717015","-4.717015","-4.717015","-4.018046","-4.717015","-4.717015","-4.717015"
"Q9BZK3","-4.574857","-4.574857","-4.574857","-4.574857","-4.574857","-4.574857","-4.574857","-4.574857","-4.574857","-3.875887","-4.574857","-4.574857","-4.574857","-4.574857","-4.574857","-4.574857","-4.574857","-4.574857","-4.574857","-4.574857","-4.574857"
"Q9C075","-3.772283","-3.772283","-3.073313","-3.772283","-3.772283","-3.772283","-3.772283","-3.772283","-3.772283","-3.772283","-3.772283","-3.772283","-3.772283","-3.772283","-3.772283","-3.772283","-3.772283","-3.772283","-3.772283","-3.772283","-3.772283"
"Q9GZL7","-5.241995","-5.241995","-5.241995","-5.241995","-5.241995","-5.241995","-5.241995","-5.241995","-5.241995","-5.241995","-5.241995","-5.241995","-4.543027","-5.241995","-5.241995","-5.241995","-5.241995","-5.241995","-5.241995","-5.241995","-5.241995"
"Q9GZM7","-4.777335","-4.777335","-4.777335","-4.078366","-4.777335","-4.777335","-4.777335","-4.777335","-4.777335","-4.777335","-4.777335","-4.777335","-4.777335","-4.777335","-4.777335","-4.777335","-4.777335","-4.777335","-4.777335","-4.777335","-4.777335"
"Q9GZZ8","-4.791505","-4.791505","-4.791505","-4.791505","-4.791505","-4.791505","-4.791505","-4.791505","-4.791505","-3.289443","-4.791505","-4.092535","-4.056604","-4.791505","-4.791505","-4.791505","-4.791505","-4.791505","-3.723768","-3.455200","-2.882086"
"Q9H0A0","-5.294818","-5.294818","-5.294818","-4.595851","-5.294818","-5.294818","-5.294818","-5.294818","-5.294818","-5.294818","-5.294818","-5.294818","-5.294818","-5.294818","-5.294818","-5.294818","-5.294818","-5.294818","-5.294818","-5.294818","-5.294818"
"Q9H0W9","-4.820620","-4.820620","-4.820620","-4.820620","-4.820620","-4.820620","-4.820620","-4.820620","-4.820620","-4.820620","-4.820620","-4.820620","-4.820620","-4.820620","-4.820620","-4.820620","-4.121651","-4.820620","-4.820620","-4.820620","-4.820620"
"Q9H173","-5.286003","-5.286003","-5.286003","-5.286003","-5.286003","-5.286003","-5.286003","-5.286003","-5.286003","-5.286003","-5.286003","-5.286003","-5.286003","-5.286003","-4.587036","-5.286003","-5.286003","-5.286003","-5.286003","-5.286003","-5.286003"
"Q9H299","-4.584159","-4.584159","-4.584159","-4.584159","-4.584159","-4.584159","-4.584159","-4.584159","-4.584159","-4.584159","-4.584159","-3.142981","-3.885189","-3.002911","-2.937553","-3.074033","-2.688717","-2.920002","-2.812011","-3.584843","-2.845387"
"Q9H2G2","-5.675703","-5.675703","-5.675703","-5.675703","-5.675703","-5.675703","-5.675703","-5.675703","-5.675703","-5.675703","-5.675703","-5.675703","-5.675703","-5.675703","-5.675703","-5.675703","-5.675703","-5.675703","-4.976747","-5.675703","-5.675703"
"Q9H336","-4.983133","-4.983133","-4.983133","-4.284164","-4.983133","-4.983133","-4.983133","-4.983133","-4.983133","-4.983133","-4.983133","-4.983133","-4.983133","-4.983133","-4.983133","-4.983133","-4.983133","-4.983133","-4.983133","-4.983133","-4.983133"
"Q9H7P6","-5.155397","-5.155397","-5.155397","-5.155397","-5.155397","-5.155397","-5.155397","-5.155397","-5.155397","-5.155397","-5.155397","-4.456429","-5.155397","-5.155397","-5.155397","-5.155397","-5.155397","-5.155397","-5.155397","-5.155397","-5.155397"
"Q9H993","-5.267765","-5.267765","-5.267765","-5.267765","-5.267765","-5.267765","-5.267765","-5.267765","-5.267765","-5.267765","-5.267765","-5.267765","-5.267765","-5.267765","-5.267765","-5.267765","-4.568797","-5.267765","-5.267765","-5.267765","-5.267765"
"Q9HAT2","-4.604673","-4.604673","-4.604673","-3.905704","-4.604673","-4.604673","-4.604673","-4.604673","-4.604673","-4.604673","-4.604673","-4.604673","-4.604673","-4.604673","-4.604673","-4.604673","-4.604673","-4.604673","-4.604673","-4.604673","-4.604673"
"Q9HB00","-4.994647","-4.994647","-4.994647","-3.965372","-4.994647","-4.994647","-4.994647","-4.994647","-4.994647","-4.295678","-4.994647","-4.994647","-4.994647","-4.994647","-4.994647","-4.994647","-4.994647","-4.994647","-4.994647","-4.994647","-4.994647"
"Q9HB71","-4.941801","-4.941801","-4.941801","-4.941801","-4.941801","-4.941801","-4.941801","-4.941801","-4.941801","-4.941801","-4.941801","-4.941801","-4.941801","-4.941801","-4.941801","-4.941801","-4.941801","-4.941801","-4.242832","-4.941801","-4.941801"
"Q9HB90","-5.224315","-5.224315","-5.224315","-5.224315","-5.224315","-5.224315","-5.224315","-5.224315","-5.224315","-5.224315","-5.224315","-5.224315","-5.224315","-5.224315","-4.524329","-4.484656","-4.525347","-5.224315","-5.224315","-4.518414","-5.224315"
"Q9HC84","-4.750215","-4.750215","-2.842377","-4.051245","-4.750215","-3.451721","-3.661225","-3.639217","-4.750215","-3.000408","-4.750215","-3.236101","-3.012638","-2.490878","-2.681720","-2.658399","-2.884899","-2.614412","-2.851703","-3.013313","-2.677138"
"Q9HCC1","-3.818568","-3.818568","-3.818568","-2.894013","-3.818568","-3.818568","-3.818568","-3.818568","-3.818568","-3.119598","-3.818568","-3.818568","-3.818568","-3.818568","-3.818568","-3.818568","-3.818568","-3.818568","-3.818568","-3.818568","-3.818568"
"Q9HCY8","-4.00013","-4.00013","-4.00013","-3.30116","-4.00013","-4.00013","-4.00013","-4.00013","-4.00013","-4.00013","-4.00013","-4.00013","-4.00013","-4.00013","-4.00013","-4.00013","-4.00013","-4.00013","-4.00013","-4.00013","-4.00013"
"Q9HD20","-5.364714","-5.364714","-5.364714","-4.665747","-5.364714","-5.364714","-5.364714","-5.364714","-5.364714","-5.364714","-5.364714","-5.364714","-5.364714","-5.364714","-5.364714","-5.364714","-5.364714","-5.364714","-5.364714","-5.364714","-5.364714"
"Q9HD89","-4.650683","-4.650683","-4.650683","-4.650683","-4.650683","-4.650683","-4.650683","-4.650683","-4.650683","-4.650683","-4.650683","-4.650683","-4.650683","-4.650683","-4.650683","-4.650683","-3.355719","-4.650683","-3.918329","-3.649771","-3.951714"
