"Gene","FC","log2(FC)","raw.pval","-log10(p)"
"IPI00550584",13.384,3.7424,0.00022544,3.647
"P22626",0.14501,-2.7858,0.00022619,3.6455
"IPI00550663",13.741,3.7804,0.00022622,3.6455
"IPI00550932",14.103,3.818,0.00022882,3.6405
"IPI00550947",14.278,3.8358,0.00023203,3.6345
"IPI00550513",12.446,3.6376,0.00024005,3.6197
"P07237",0.24194,-2.0473,0.00024006,3.6197
"P05156",0.13615,-2.8768,0.00024828,3.6051
"P35754",0.12612,-2.9871,0.00025284,3.5972
"Q6P5S2",0.31472,-1.6679,0.0002533,3.5964
"Q9P1F3",0.14456,-2.7903,0.00026681,3.5738
"P01706",0.36685,-1.4468,0.00026862,3.5709
"A0A0A0MS15",0.10592,-3.239,0.00029397,3.5317
"P54652",0.13748,-2.8627,0.00030191,3.5201
"Q99536",0.085142,-3.554,0.00030589,3.5144
"P80748",0.22314,-2.164,0.00032731,3.485
"P02760",0.1732,-2.5295,0.00032836,3.4836
"P12532",0.11666,-3.0997,0.00034214,3.4658
"G8H6I3",20.575,4.3628,0.00035181,3.4537
"Q9UIV8",0.1382,-2.8552,0.00035246,3.4529
"P21128",0.29086,-1.7816,0.00036949,3.4324
"P00751",0.30208,-1.727,0.00037823,3.4222
"P26599",0.10445,-3.2591,0.00038071,3.4194
"O43707",0.10791,-3.2121,0.00041407,3.3829
"P36871",0.074755,-3.7417,0.00044326,3.3533
"Q02413",0.21008,-2.251,0.00045461,3.3424
"Q08188",0.2062,-2.2779,0.00048767,3.3119
"O75594",0.12073,-3.0502,0.00055852,3.253
"O15144",0.046941,-4.413,0.00056303,3.2495
"P00491",0.058633,-4.0921,0.00057176,3.2428
"P55058",0.39153,-1.3528,0.00057656,3.2392
"P20160",0.21206,-2.2375,0.0005819,3.2352
"P01619",0.41031,-1.2852,0.0005901,3.2291
"P00747",0.23429,-2.0936,0.00060259,3.22
"P11413",0.026381,-5.2444,0.00063668,3.1961
"P12830",0.3236,-1.6277,0.0006391,3.1944
"P29034",0.07808,-3.6789,0.00065095,3.1865
"P17213",0.079866,-3.6463,0.0006628,3.1786
"P61160",0.062841,-3.9922,0.00066339,3.1782
"P23284",0.075436,-3.7286,0.00072064,3.1423
"IPI00550315",4.5096,2.173,0.00096461,3.0156
"P07476",0.19827,-2.3345,0.0009905,3.0041
"Q9NP55",0.06753,-3.8883,0.0010124,2.9946
"IPI00549330",5.9372,2.5698,0.0010371,2.9842
"IPI00473097",5.9218,2.566,0.0010406,2.9827
"Q6N091",5.7566,2.5252,0.001066,2.9722
"IPI00382938",5.2583,2.3946,0.0010675,2.9716
"P31146",0.22066,-2.1801,0.0010766,2.968
"Q6GMW6",8.2384,3.0424,0.0010811,2.9661
"Q96E61",8.2218,3.0395,0.0010823,2.9656
"Q6P5S3",8.2053,3.0365,0.0010838,2.9651
"IPI00386785",8.2053,3.0366,0.0010838,2.9651
"Q6P2J1",8.1721,3.0307,0.0010871,2.9637
"Q6N041",5.8748,2.5545,0.0010875,2.9636
"IPI00423462",5.4261,2.4399,0.0011056,2.9564
"P50395",0.19728,-2.3417,0.0011251,2.9488
"Q6GMW3",5.565,2.4764,0.0011281,2.9476
"Q16777",0.29259,-1.7731,0.0011527,2.9383
"Q96DK0",5.8617,2.5513,0.0011883,2.9251
"Q8WY24",5.8231,2.5418,0.001215,2.9154
"P20700",0.04176,-4.5817,0.0012163,2.915
