"Common A B"	"Unique A"	"Unique B"
NA	"IPI00430848"	NA
NA	"IPI00430856"	NA
NA	"IPI00431749"	NA
NA	"IPI00432063"	NA
NA	"IPI00433678"	NA
NA	"IPI00434943"	NA
NA	"IPI00437593"	NA
NA	"IPI00437847"	NA
NA	"IPI00439447"	NA
NA	"IPI00440162"	NA
NA	"IPI00440577"	NA
NA	"IPI00440764"	NA
NA	"IPI00441196"	NA
NA	"IPI00443478"	NA
NA	"IPI00446503"	NA
NA	"IPI00447449"	NA
NA	"IPI00448517"	NA
NA	"IPI00448707"	NA
NA	"IPI00448734"	NA
NA	"IPI00448792"	NA
NA	"IPI00448845"	NA
NA	"IPI00448925"	NA
NA	"IPI00448938"	NA
NA	"IPI00448984"	NA
NA	"IPI00449202"	NA
NA	"IPI00450931"	NA
NA	"IPI00452748"	NA
NA	"IPI00454960"	NA
NA	"IPI00455222"	NA
NA	"IPI00455296"	NA
NA	"IPI00455326"	NA
NA	"IPI00455383"	NA
NA	"IPI00455457"	NA
NA	"IPI00455462"	NA
NA	"IPI00455531"	NA
NA	"IPI00455535"	NA
NA	"IPI00455552"	NA
NA	"IPI00455589"	NA
NA	"IPI00455665"	NA
NA	"IPI00455689"	NA
NA	"IPI00455693"	NA
NA	"IPI00455739"	NA
NA	"IPI00455771"	NA
NA	"IPI00456195"	NA
NA	"IPI00456619"	NA
NA	"IPI00456666"	NA
NA	"IPI00456715"	NA
NA	"IPI00456832"	NA
NA	"IPI00457054"	NA
NA	"IPI00457080"	NA
NA	"IPI00464992"	NA
NA	"IPI00465028"	NA
NA	"IPI00465032"	NA
NA	"IPI00465081"	NA
NA	"IPI00465151"	NA
NA	"IPI00465186"	NA
NA	"IPI00465431"	NA
NA	"IPI00465436"	NA
NA	"IPI00465439"	NA
NA	"IPI00470525"	NA
NA	"IPI00470554"	NA
NA	"IPI00470657"	NA
NA	"IPI00470852"	NA
NA	"IPI00470919"	NA
NA	"IPI00471928"	NA
NA	"IPI00472068"	NA
NA	"IPI00472102"	NA
NA	"IPI00472104"	NA
NA	"IPI00472119"	NA
NA	"IPI00472226"	NA
NA	"IPI00472345"	NA
NA	"IPI00472382"	NA
NA	"IPI00472610"	NA
NA	"IPI00472627"	NA
NA	"IPI00472754"	NA
NA	"IPI00472762"	NA
NA	"IPI00472787"	NA
